Time Step #,Time(s),"Position (North, metres)","Position (East, metres)",Altitude (metres),"Velocity (North, m/s)","Velocity (East, m/s)","Velocity (Up, m/s)","Acceleration (North, m/s2)","Acceleration (East, m/s2)","Acceleration (Up, m/s2)"
200,10.0,-543.927,541.683,2426.235,-112.873,112.191,-449.352,-11.757,11.625,-35.568
201,10.05,-549.6,547.321,2448.702,-113.457,112.769,-451.13,-11.693,11.559,-35.553
202,10.1,-555.302,552.989,2471.259,-114.038,113.344,-452.907,-11.626,11.49,-35.54
203,10.15,-561.033,558.684,2493.904,-114.617,113.915,-454.683,-11.568,11.432,-35.522
204,10.2,-566.792,564.409,2516.638,-115.194,114.485,-456.459,-11.535,11.397,-35.511
205,10.25,-572.581,570.161,2539.461,-115.77,115.055,-458.233,-11.529,11.39,-35.493
206,10.3,-578.398,575.943,2562.373,-116.347,115.625,-460.005,-11.544,11.405,-35.44
207,10.35,-584.245,581.753,2585.373,-116.926,116.197,-461.774,-11.582,11.443,-35.376
208,10.4,-590.12,587.591,2608.462,-117.508,116.772,-463.54,-11.635,11.495,-35.306
209,10.45,-596.025,593.459,2631.639,-118.093,117.35,-465.301,-11.691,11.552,-35.233
210,10.5,-601.959,599.355,2654.904,-118.68,117.93,-467.059,-11.742,11.603,-35.165
211,10.55,-607.922,605.281,2678.257,-119.269,118.512,-468.815,-11.777,11.638,-35.105
212,10.6,-613.915,611.235,2701.698,-119.858,119.094,-470.567,-11.791,11.652,-35.057
213,10.65,-619.937,617.219,2725.226,-120.447,119.676,-472.319,-11.784,11.644,-35.02
214,10.7,-625.989,623.232,2748.842,-121.035,120.257,-474.068,-11.757,11.617,-34.995
215,10.75,-632.07,629.274,2772.545,-121.621,120.836,-475.817,-11.718,11.576,-34.977
216,10.8,-638.18,635.344,2796.336,-122.205,121.413,-477.565,-11.674,11.53,-34.963
217,10.85,-644.32,641.444,2820.214,-122.787,121.987,-479.313,-11.634,11.489,-34.947
218,10.9,-650.488,647.572,2844.18,-123.367,122.56,-481.059,-11.606,11.46,-34.925
219,10.95,-656.685,653.728,2868.233,-123.947,123.132,-482.804,-11.595,11.448,-34.895
220,11.0,-662.912,659.914,2892.373,-124.526,123.705,-484.545,-11.597,11.449,-34.836
221,11.05,-669.167,666.128,2916.6,-125.107,124.278,-486.284,-11.615,11.467,-34.768
222,11.1,-675.451,672.37,2940.915,-125.69,124.853,-488.02,-11.65,11.502,-34.715
223,11.15,-681.765,678.642,2965.316,-126.274,125.43,-489.753,-11.69,11.542,-34.661
224,11.2,-688.108,684.942,2989.803,-126.861,126.009,-491.483,-11.727,11.58,-34.61
225,11.25,-694.481,691.272,3014.377,-127.448,126.59,-493.211,-11.755,11.608,-34.564
226,11.3,-700.882,697.63,3039.038,-128.037,127.171,-494.938,-11.77,11.622,-34.525
227,11.35,-707.314,704.018,3063.785,-128.625,127.752,-496.662,-11.77,11.621,-34.496
228,11.4,-713.774,710.434,3088.618,-129.213,128.332,-498.385,-11.75,11.601,-34.451
229,11.45,-720.264,716.88,3113.537,-129.799,128.911,-500.106,-11.722,11.572,-34.413
230,11.5,-726.783,723.354,3138.542,-130.384,129.488,-501.825,-11.695,11.543,-34.4
231,11.55,-733.332,729.858,3163.634,-130.967,130.064,-503.545,-11.67,11.517,-34.386
232,11.6,-739.909,736.39,3188.811,-131.55,130.639,-505.263,-11.652,11.499,-34.368
233,11.65,-746.516,742.95,3214.074,-132.132,131.213,-506.979,-11.638,11.484,-34.317
234,11.7,-753.152,749.54,3239.423,-132.714,131.787,-508.693,-11.64,11.485,-34.274
235,11.75,-759.816,756.158,3264.858,-133.297,132.362,-510.405,-11.657,11.501,-34.241
236,11.8,-766.51,762.805,3290.378,-133.88,132.938,-512.114,-11.675,11.519,-34.179
237,11.85,-773.234,769.48,3315.984,-134.465,133.515,-513.82,-11.698,11.543,-34.12
238,11.9,-779.986,776.185,3341.675,-135.051,134.094,-515.524,-11.726,11.57,-34.083
239,11.95,-786.768,782.919,3367.451,-135.639,134.673,-517.225,-11.742,11.586,-34.03
240,12.0,-793.58,789.681,3393.312,-136.226,135.253,-518.924,-11.748,11.592,-33.975
241,12.05,-800.42,796.473,3419.258,-136.814,135.832,-520.622,-11.752,11.595,-33.954
242,12.1,-807.29,803.293,3445.289,-137.401,136.412,-522.318,-11.743,11.585,-33.922
243,12.15,-814.19,810.143,3471.405,-137.987,136.99,-524.012,-11.723,11.565,-33.88
244,12.2,-821.118,817.021,3497.606,-138.572,137.567,-525.705,-11.708,11.549,-33.869
245,12.25,-828.076,823.928,3523.891,-139.157,138.144,-527.398,-11.692,11.532,-33.849
246,12.3,-835.063,830.864,3550.261,-139.741,138.72,-529.088,-11.675,11.514,-33.807
247,12.35,-842.079,837.829,3576.715,-140.324,139.295,-530.776,-11.666,11.503,-33.761
248,12.4,-849.125,844.823,3603.254,-140.907,139.87,-532.462,-11.665,11.502,-33.717
249,12.45,-856.199,851.845,3629.877,-141.491,140.446,-534.147,-11.679,11.515,-33.696
250,12.5,-863.303,858.896,3656.585,-142.076,141.022,-535.83,-11.694,11.53,-33.655
251,12.55,-870.436,865.976,3683.376,-142.661,141.599,-537.51,-11.707,11.543,-33.599
252,12.6,-877.598,873.085,3710.252,-143.247,142.177,-539.187,-11.72,11.556,-33.544
253,12.65,-884.79,880.223,3737.211,-143.834,142.755,-540.862,-11.732,11.568,-33.504
254,12.7,-892.011,887.389,3764.254,-144.421,143.334,-542.536,-11.745,11.58,-33.487
255,12.75,-899.262,894.585,3791.381,-145.008,143.913,-544.209,-11.744,11.579,-33.449
256,12.8,-906.541,901.81,3818.591,-145.595,144.492,-545.879,-11.736,11.57,-33.407
257,12.85,-913.85,909.063,3845.885,-146.181,145.07,-547.547,-11.724,11.557,-33.368
