Time Step #,Time(s),"Position (North, metres)","Position (East, metres)",Altitude (metres),"Velocity (North, m/s)","Velocity (East, m/s)","Velocity (Up, m/s)","Acceleration (North, m/s2)","Acceleration (East, m/s2)","Acceleration (Up, m/s2)"
2027,101.35,-10960.596,10784.137,9589.289,-80.71,79.891,326.311,1.562,-1.499,3.624
2028,101.4,-10964.628,10788.128,9572.974,-80.632,79.816,326.492,1.564,-1.501,3.606
2029,101.45,-10968.656,10792.115,9556.649,-80.554,79.741,326.671,1.567,-1.503,3.589
2030,101.5,-10972.679,10796.098,9540.316,-80.475,79.666,326.85,1.569,-1.505,3.572
2031,101.55,-10976.699,10800.078,9523.973,-80.397,79.591,327.027,1.571,-1.507,3.554
2032,101.6,-10980.715,10804.053,9507.622,-80.318,79.515,327.204,1.573,-1.509,3.537
2033,101.65,-10984.727,10808.025,9491.262,-80.239,79.44,327.38,1.575,-1.511,3.519
2034,101.7,-10988.735,10811.994,9474.893,-80.16,79.364,327.555,1.577,-1.514,3.501
2035,101.75,-10992.739,10815.958,9458.515,-80.081,79.288,327.73,1.579,-1.516,3.484
2036,101.8,-10996.739,10819.919,9442.128,-80.002,79.212,327.903,1.581,-1.518,3.466
2037,101.85,-11000.736,10823.875,9425.733,-79.923,79.136,328.075,1.584,-1.52,3.449
2038,101.9,-11004.728,10827.828,9409.329,-79.844,79.06,328.247,1.586,-1.522,3.431
2039,101.95,-11008.716,10831.778,9392.917,-79.764,78.984,328.417,1.588,-1.524,3.413
2040,102.0,-11012.7,10835.723,9376.496,-79.685,78.908,328.587,1.59,-1.526,3.395
2041,102.05,-11016.68,10839.665,9360.067,-79.605,78.831,328.756,1.592,-1.528,3.378
2042,102.1,-11020.657,10843.602,9343.629,-79.526,78.755,328.924,1.594,-1.531,3.36
2043,102.15,-11024.629,10847.536,9327.183,-79.446,78.678,329.091,1.596,-1.533,3.342
2044,102.2,-11028.597,10851.466,9310.728,-79.366,78.601,329.257,1.598,-1.535,3.324
2045,102.25,-11032.562,10855.392,9294.265,-79.286,78.524,329.423,1.6,-1.537,3.307
2046,102.3,-11036.522,10859.315,9277.794,-79.206,78.447,329.587,1.603,-1.539,3.289
2047,102.35,-11040.478,10863.233,9261.315,-79.126,78.37,329.751,1.605,-1.541,3.271
2048,102.4,-11044.43,10867.148,9244.827,-79.045,78.293,329.913,1.607,-1.543,3.253
2049,102.45,-11048.379,10871.059,9228.332,-78.965,78.216,330.075,1.609,-1.545,3.235
2050,102.5,-11052.323,10874.966,9211.828,-78.884,78.139,330.236,1.611,-1.547,3.217
2051,102.55,-11056.263,10878.869,9195.316,-78.804,78.061,330.396,1.613,-1.549,3.199
2052,102.6,-11060.199,10882.768,9178.796,-78.723,77.984,330.555,1.615,-1.552,3.181
2053,102.65,-11064.131,10886.663,9162.269,-78.642,77.906,330.713,1.617,-1.554,3.163
2054,102.7,-11068.059,10890.555,9145.733,-78.561,77.828,330.87,1.619,-1.556,3.145
2055,102.75,-11071.983,10894.442,9129.189,-78.48,77.75,331.027,1.621,-1.558,3.127
2056,102.8,-11075.903,10898.326,9112.638,-78.399,77.672,331.182,1.623,-1.56,3.109
2057,102.85,-11079.819,10902.205,9096.079,-78.317,77.594,331.337,1.625,-1.562,3.091
2058,102.9,-11083.731,10906.081,9079.512,-78.236,77.516,331.49,1.628,-1.564,3.073
2059,102.95,-11087.639,10909.953,9062.938,-78.155,77.438,331.643,1.63,-1.566,3.054
2060,103.0,-11091.542,10913.821,9046.355,-78.073,77.359,331.795,1.632,-1.568,3.036
2061,103.05,-11095.442,10917.685,9029.766,-77.991,77.281,331.946,1.634,-1.57,3.018
2062,103.1,-11099.337,10921.545,9013.168,-77.91,77.202,332.096,1.636,-1.572,3.0
2063,103.15,-11103.229,10925.401,8996.564,-77.828,77.123,332.245,1.638,-1.574,2.982
2064,103.2,-11107.116,10929.254,8979.951,-77.746,77.045,332.393,1.64,-1.576,2.964
2065,103.25,-11110.999,10933.102,8963.332,-77.664,76.966,332.54,1.642,-1.578,2.945
2066,103.3,-11114.878,10936.946,8946.705,-77.581,76.887,332.687,1.644,-1.58,2.927
2067,103.35,-11118.753,10940.787,8930.07,-77.499,76.808,332.832,1.646,-1.583,2.909
2068,103.4,-11122.624,10944.623,8913.429,-77.417,76.728,332.977,1.648,-1.585,2.89
2069,103.45,-11126.491,10948.456,8896.78,-77.334,76.649,333.12,1.65,-1.587,2.872
2070,103.5,-11130.353,10952.284,8880.124,-77.252,76.57,333.263,1.652,-1.589,2.854
2071,103.55,-11134.212,10956.109,8863.461,-77.169,76.49,333.405,1.654,-1.591,2.835
2072,103.6,-11138.066,10959.929,8846.791,-77.086,76.41,333.546,1.656,-1.593,2.817
2073,103.65,-11141.916,10963.746,8830.113,-77.003,76.331,333.685,1.658,-1.595,2.798
2074,103.7,-11145.762,10967.558,8813.429,-76.92,76.251,333.824,1.66,-1.597,2.78
2075,103.75,-11149.604,10971.367,8796.738,-76.837,76.171,333.963,1.662,-1.599,2.762
2076,103.8,-11153.442,10975.171,8780.04,-76.754,76.091,334.1,1.664,-1.601,2.743
2077,103.85,-11157.275,10978.972,8763.335,-76.671,76.011,334.236,1.666,-1.603,2.725
2078,103.9,-11161.105,10982.768,8746.623,-76.587,75.93,334.371,1.668,-1.605,2.706
2079,103.95,-11164.93,10986.561,8729.904,-76.504,75.85,334.506,1.67,-1.607,2.688
2080,104.0,-11168.751,10990.349,8713.179,-76.42,75.77,334.639,1.672,-1.609,2.669
2081,104.05,-11172.568,10994.134,8696.447,-76.336,75.689,334.772,1.674,-1.611,2.65
2082,104.1,-11176.38,10997.914,8679.709,-76.253,75.608,334.903,1.676,-1.613,2.632
2083,104.15,-11180.189,11001.69,8662.963,-76.169,75.528,335.034,1.678,-1.615,2.613
2084,104.2,-11183.993,11005.463,8646.212,-76.085,75.447,335.164,1.68,-1.617,2.595
2085,104.25,-11187.793,11009.231,8629.453,-76.001,75.366,335.292,1.682,-1.619,2.576
2086,104.3,-11191.589,11012.995,8612.689,-75.916,75.285,335.42,1.684,-1.621,2.557
2087,104.35,-11195.38,11016.756,8595.918,-75.832,75.204,335.547,1.686,-1.623,2.539
2088,104.4,-11199.168,11020.512,8579.14,-75.748,75.123,335.673,1.688,-1.625,2.52
2089,104.45,-11202.951,11024.264,8562.357,-75.663,75.041,335.798,1.69,-1.627,2.501
2090,104.5,-11206.73,11028.012,8545.567,-75.579,74.96,335.922,1.692,-1.629,2.482
2091,104.55,-11210.505,11031.756,8528.771,-75.494,74.878,336.046,1.694,-1.631,2.464
2092,104.6,-11214.275,11035.495,8511.969,-75.409,74.797,336.168,1.695,-1.632,2.445
2093,104.65,-11218.041,11039.231,8495.16,-75.324,74.715,336.289,1.697,-1.634,2.426
2094,104.7,-11221.803,11042.963,8478.346,-75.239,74.633,336.409,1.699,-1.636,2.407
2095,104.75,-11225.561,11046.69,8461.525,-75.154,74.551,336.529,1.701,-1.638,2.389
2096,104.8,-11229.314,11050.414,8444.699,-75.069,74.469,336.647,1.703,-1.64,2.37
2097,104.85,-11233.064,11054.133,8427.866,-74.984,74.387,336.765,1.705,-1.642,2.351
2098,104.9,-11236.808,11057.848,8411.028,-74.898,74.305,336.882,1.707,-1.644,2.332
2099,104.95,-11240.549,11061.56,8394.184,-74.813,74.223,336.997,1.709,-1.646,2.313
2100,105.0,-11244.286,11065.267,8377.334,-74.727,74.14,337.112,1.711,-1.648,2.294
2101,105.05,-11248.018,11068.97,8360.479,-74.642,74.058,337.226,1.713,-1.65,2.276
2102,105.1,-11251.745,11072.668,8343.617,-74.556,73.975,337.339,1.715,-1.652,2.257
2103,105.15,-11255.469,11076.363,8326.75,-74.47,73.892,337.45,1.716,-1.654,2.238
2104,105.2,-11259.188,11080.053,8309.878,-74.384,73.81,337.561,1.718,-1.656,2.219
2105,105.25,-11262.903,11083.74,8293.0,-74.298,73.727,337.671,1.72,-1.657,2.2
2106,105.3,-11266.614,11087.422,8276.116,-74.212,73.644,337.78,1.722,-1.659,2.181
2107,105.35,-11270.32,11091.1,8259.227,-74.126,73.561,337.889,1.724,-1.661,2.162
2108,105.4,-11274.022,11094.774,8242.333,-74.04,73.478,337.996,1.726,-1.663,2.143
2109,105.45,-11277.72,11098.444,8225.433,-73.953,73.394,338.102,1.728,-1.665,2.124
2110,105.5,-11281.413,11102.109,8208.528,-73.867,73.311,338.207,1.729,-1.667,2.105
2111,105.55,-11285.102,11105.77,8191.618,-73.78,73.228,338.311,1.731,-1.669,2.086
2112,105.6,-11288.787,11109.428,8174.702,-73.694,73.144,338.415,1.733,-1.671,2.067
2113,105.65,-11292.467,11113.081,8157.781,-73.607,73.06,338.517,1.735,-1.672,2.048
2114,105.7,-11296.143,11116.729,8140.855,-73.52,72.977,338.619,1.737,-1.674,2.029
2115,105.75,-11299.815,11120.374,8123.924,-73.433,72.893,338.719,1.739,-1.676,2.01
2116,105.8,-11303.482,11124.015,8106.989,-73.346,72.809,338.819,1.74,-1.678,1.991
2117,105.85,-11307.145,11127.651,8090.048,-73.259,72.725,338.917,1.742,-1.68,1.972
2118,105.9,-11310.804,11131.283,8073.102,-73.172,72.641,339.015,1.744,-1.682,1.952
2119,105.95,-11314.458,11134.911,8056.151,-73.085,72.557,339.111,1.746,-1.684,1.933
2120,106.0,-11318.108,11138.534,8039.195,-72.997,72.472,339.207,1.748,-1.685,1.914
2121,106.05,-11321.753,11142.154,8022.235,-72.91,72.388,339.302,1.749,-1.687,1.895
2122,106.1,-11325.394,11145.769,8005.27,-72.822,72.304,339.396,1.751,-1.689,1.876
2123,106.15,-11329.031,11149.38,7988.3,-72.735,72.219,339.489,1.753,-1.691,1.857
2124,106.2,-11332.663,11152.987,7971.326,-72.647,72.134,339.58,1.755,-1.693,1.838
2125,106.25,-11336.291,11156.589,7954.347,-72.559,72.05,339.671,1.756,-1.694,1.818
2126,106.3,-11339.915,11160.187,7937.363,-72.471,71.965,339.761,1.758,-1.696,1.799
2127,106.35,-11343.534,11163.781,7920.375,-72.383,71.88,339.85,1.76,-1.698,1.78
2128,106.4,-11347.149,11167.371,7903.383,-72.295,71.795,339.938,1.762,-1.7,1.761
2129,106.45,-11350.759,11170.957,7886.386,-72.207,71.71,340.025,1.763,-1.702,1.742
2130,106.5,-11354.365,11174.538,7869.384,-72.119,71.625,340.112,1.765,-1.703,1.722
2131,106.55,-11357.967,11178.115,7852.379,-72.03,71.54,340.197,1.767,-1.705,1.703
2132,106.6,-11361.564,11181.687,7835.369,-71.942,71.454,340.281,1.769,-1.707,1.684
2133,106.65,-11365.156,11185.256,7818.355,-71.853,71.369,340.364,1.77,-1.709,1.665
2134,106.7,-11368.745,11188.82,7801.337,-71.765,71.283,340.446,1.772,-1.71,1.645
2135,106.75,-11372.328,11192.38,7784.314,-71.676,71.198,340.528,1.774,-1.712,1.626
2136,106.8,-11375.908,11195.936,7767.288,-71.587,71.112,340.608,1.775,-1.714,1.607
2137,106.85,-11379.483,11199.487,7750.258,-71.498,71.026,340.687,1.777,-1.716,1.587
2138,106.9,-11383.053,11203.034,7733.223,-71.409,70.94,340.766,1.779,-1.717,1.568
2139,106.95,-11386.619,11206.577,7716.185,-71.32,70.854,340.843,1.781,-1.719,1.549
2140,107.0,-11390.181,11210.115,7699.143,-71.231,70.768,340.92,1.782,-1.721,1.53
2141,107.05,-11393.738,11213.649,7682.097,-71.142,70.682,340.995,1.784,-1.722,1.51
2142,107.1,-11397.29,11217.179,7665.047,-71.053,70.596,341.07,1.786,-1.724,1.491
2143,107.15,-11400.839,11220.704,7647.994,-70.963,70.51,341.143,1.787,-1.726,1.472
2144,107.2,-11404.382,11224.226,7630.936,-70.874,70.423,341.216,1.789,-1.727,1.452
2145,107.25,-11407.921,11227.742,7613.876,-70.784,70.337,341.288,1.79,-1.729,1.433
2146,107.3,-11411.456,11231.255,7596.811,-70.695,70.25,341.358,1.792,-1.731,1.414
2147,107.35,-11414.986,11234.763,7579.743,-70.605,70.164,341.428,1.794,-1.732,1.394
2148,107.4,-11418.512,11238.267,7562.672,-70.515,70.077,341.497,1.795,-1.734,1.375
2149,107.45,-11422.034,11241.766,7545.597,-70.426,69.99,341.565,1.797,-1.736,1.356
2150,107.5,-11425.55,11245.262,7528.519,-70.336,69.903,341.631,1.799,-1.737,1.336
2151,107.55,-11429.063,11248.752,7511.437,-70.246,69.816,341.697,1.8,-1.739,1.317
2152,107.6,-11432.57,11252.239,7494.352,-70.156,69.729,341.762,1.802,-1.741,1.298
2153,107.65,-11436.074,11255.721,7477.264,-70.065,69.642,341.826,1.803,-1.742,1.278
2154,107.7,-11439.572,11259.199,7460.173,-69.975,69.555,341.889,1.805,-1.744,1.259
2155,107.75,-11443.067,11262.672,7443.079,-69.885,69.468,341.951,1.806,-1.746,1.239
2156,107.8,-11446.556,11266.141,7425.981,-69.794,69.38,342.012,1.808,-1.747,1.22
2157,107.85,-11450.042,11269.606,7408.88,-69.704,69.293,342.072,1.81,-1.749,1.201
2158,107.9,-11453.522,11273.066,7391.777,-69.613,69.205,342.131,1.811,-1.75,1.181
2159,107.95,-11456.998,11276.522,7374.67,-69.523,69.118,342.189,1.813,-1.752,1.162
2160,108.0,-11460.47,11279.974,7357.561,-69.432,69.03,342.246,1.814,-1.754,1.142
2161,108.05,-11463.937,11283.421,7340.449,-69.341,68.942,342.302,1.816,-1.755,1.123
2162,108.1,-11467.4,11286.863,7323.333,-69.25,68.855,342.358,1.817,-1.757,1.104
2163,108.15,-11470.857,11290.302,7306.216,-69.159,68.767,342.412,1.819,-1.758,1.084
2164,108.2,-11474.311,11293.736,7289.095,-69.068,68.679,342.465,1.82,-1.76,1.065
2165,108.25,-11477.76,11297.165,7271.972,-68.977,68.591,342.517,1.822,-1.761,1.045
2166,108.3,-11481.204,11300.59,7254.846,-68.886,68.502,342.569,1.823,-1.763,1.026
2167,108.35,-11484.644,11304.011,7237.717,-68.795,68.414,342.619,1.825,-1.764,1.007
2168,108.4,-11488.079,11307.427,7220.586,-68.704,68.326,342.668,1.826,-1.766,0.987
2169,108.45,-11491.51,11310.839,7203.453,-68.612,68.238,342.717,1.828,-1.768,0.968
2170,108.5,-11494.936,11314.247,7186.317,-68.521,68.149,342.764,1.829,-1.769,0.948
2171,108.55,-11498.357,11317.65,7169.179,-68.429,68.061,342.811,1.831,-1.771,0.929
2172,108.6,-11501.774,11321.048,7152.038,-68.338,67.972,342.856,1.832,-1.772,0.91
2173,108.65,-11505.186,11324.442,7134.896,-68.246,67.883,342.901,1.834,-1.774,0.89
2174,108.7,-11508.594,11327.832,7117.751,-68.154,67.795,342.944,1.835,-1.775,0.871
2175,108.75,-11511.997,11331.217,7100.603,-68.062,67.706,342.987,1.836,-1.776,0.851
2176,108.8,-11515.396,11334.598,7083.454,-67.97,67.617,343.028,1.838,-1.778,0.832
2177,108.85,-11518.79,11337.975,7066.303,-67.879,67.528,343.069,1.839,-1.779,0.813
2178,108.9,-11522.179,11341.347,7049.149,-67.786,67.439,343.109,1.841,-1.781,0.793
2179,108.95,-11525.564,11344.714,7031.994,-67.694,67.35,343.147,1.842,-1.782,0.774
2180,109.0,-11528.944,11348.077,7014.837,-67.602,67.261,343.185,1.843,-1.784,0.754
2181,109.05,-11532.319,11351.436,6997.677,-67.51,67.171,343.222,1.845,-1.785,0.735
2182,109.1,-11535.69,11354.79,6980.516,-67.418,67.082,343.257,1.846,-1.787,0.716
2183,109.15,-11539.056,11358.139,6963.353,-67.325,66.993,343.292,1.848,-1.788,0.696
2184,109.2,-11542.418,11361.485,6946.189,-67.233,66.903,343.326,1.849,-1.789,0.677
2185,109.25,-11545.775,11364.825,6929.022,-67.14,66.813,343.359,1.85,-1.791,0.657
2186,109.3,-11549.127,11368.161,6911.854,-67.048,66.724,343.391,1.852,-1.792,0.638
2187,109.35,-11552.475,11371.493,6894.685,-66.955,66.634,343.422,1.853,-1.794,0.619
2188,109.4,-11555.818,11374.82,6877.514,-66.862,66.544,343.452,1.854,-1.795,0.599
2189,109.45,-11559.157,11378.143,6860.341,-66.77,66.455,343.481,1.856,-1.796,0.58
2190,109.5,-11562.491,11381.461,6843.167,-66.677,66.365,343.509,1.857,-1.798,0.561
2191,109.55,-11565.82,11384.775,6825.992,-66.584,66.275,343.536,1.858,-1.799,0.541
2192,109.6,-11569.144,11388.084,6808.815,-66.491,66.185,343.562,1.859,-1.8,0.522
2193,109.65,-11572.464,11391.389,6791.637,-66.398,66.095,343.587,1.861,-1.802,0.503
2194,109.7,-11575.779,11394.689,6774.457,-66.305,66.005,343.611,1.862,-1.803,0.483
2195,109.75,-11579.09,11397.985,6757.277,-66.212,65.914,343.634,1.863,-1.805,0.464
2196,109.8,-11582.396,11401.276,6740.095,-66.118,65.824,343.657,1.865,-1.806,0.445
2197,109.85,-11585.697,11404.563,6722.912,-66.025,65.734,343.678,1.866,-1.807,0.425
2198,109.9,-11588.994,11407.845,6705.728,-65.932,65.643,343.698,1.867,-1.808,0.406
2199,109.95,-11592.286,11411.123,6688.544,-65.838,65.553,343.718,1.868,-1.81,0.387
2200,110.0,-11595.573,11414.396,6671.358,-65.745,65.462,343.736,1.869,-1.811,0.367
2201,110.05,-11598.856,11417.664,6654.171,-65.651,65.372,343.753,1.871,-1.812,0.348
2202,110.1,-11602.133,11420.928,6636.983,-65.558,65.281,343.77,1.872,-1.814,0.329
2203,110.15,-11605.407,11424.188,6619.795,-65.464,65.19,343.785,1.873,-1.815,0.31
2204,110.2,-11608.675,11427.443,6602.605,-65.37,65.099,343.8,1.874,-1.816,0.29
2205,110.25,-11611.939,11430.693,6585.415,-65.277,65.008,343.813,1.875,-1.817,0.271
2206,110.3,-11615.198,11433.939,6568.225,-65.183,64.918,343.826,1.877,-1.819,0.252
2207,110.35,-11618.453,11437.18,6551.034,-65.089,64.827,343.838,1.878,-1.82,0.232
2208,110.4,-11621.702,11440.417,6533.842,-64.995,64.736,343.848,1.879,-1.821,0.213
2209,110.45,-11624.947,11443.649,6516.649,-64.901,64.644,343.858,1.88,-1.822,0.194
2210,110.5,-11628.188,11446.877,6499.456,-64.807,64.553,343.867,1.881,-1.823,0.175
2211,110.55,-11631.423,11450.1,6482.263,-64.713,64.462,343.874,1.882,-1.825,0.156
2212,110.6,-11634.654,11453.319,6465.069,-64.619,64.371,343.881,1.884,-1.826,0.136
2213,110.65,-11637.88,11456.533,6447.875,-64.524,64.279,343.887,1.885,-1.827,0.117
2214,110.7,-11641.102,11459.742,6430.681,-64.43,64.188,343.892,1.886,-1.828,0.098
2215,110.75,-11644.319,11462.947,6413.486,-64.336,64.096,343.896,1.887,-1.829,0.079
2216,110.8,-11647.531,11466.147,6396.291,-64.241,64.005,343.899,1.888,-1.83,0.06
2217,110.85,-11650.738,11469.343,6379.097,-64.147,63.913,343.901,1.889,-1.832,0.041
2218,110.9,-11653.941,11472.534,6361.901,-64.052,63.822,343.902,1.89,-1.833,0.022
2219,110.95,-11657.139,11475.72,6344.706,-63.958,63.73,343.902,1.891,-1.834,0.002
2220,111.0,-11660.332,11478.902,6327.511,-63.863,63.638,343.901,1.892,-1.835,-0.017
2221,111.05,-11663.52,11482.08,6310.316,-63.769,63.547,343.9,1.893,-1.836,-0.036
2222,111.1,-11666.704,11485.252,6293.121,-63.674,63.455,343.897,1.894,-1.837,-0.055
2223,111.15,-11669.883,11488.421,6275.926,-63.579,63.363,343.893,1.895,-1.838,-0.074
2224,111.2,-11673.057,11491.584,6258.732,-63.484,63.271,343.889,1.896,-1.839,-0.093
2225,111.25,-11676.227,11494.743,6241.537,-63.389,63.179,343.883,1.897,-1.84,-0.112
2226,111.3,-11679.391,11497.897,6224.343,-63.294,63.087,343.876,1.898,-1.841,-0.13
2227,111.35,-11682.551,11501.047,6207.149,-63.2,62.995,343.869,1.899,-1.842,-0.148
2228,111.4,-11685.706,11504.192,6189.956,-63.105,62.902,343.861,1.9,-1.843,-0.167
2229,111.45,-11688.857,11507.333,6172.763,-63.01,62.81,343.851,1.901,-1.844,-0.185
2230,111.5,-11692.003,11510.469,6155.57,-62.914,62.718,343.841,1.901,-1.845,-0.203
2231,111.55,-11695.144,11513.6,6138.378,-62.819,62.626,343.83,1.902,-1.846,-0.221
2232,111.6,-11698.28,11516.727,6121.187,-62.724,62.533,343.818,1.903,-1.847,-0.239
2233,111.65,-11701.411,11519.849,6103.996,-62.629,62.441,343.805,1.904,-1.847,-0.258
2234,111.7,-11704.538,11522.966,6086.805,-62.534,62.349,343.792,1.905,-1.848,-0.276
2235,111.75,-11707.66,11526.079,6069.616,-62.439,62.256,343.777,1.905,-1.849,-0.294
2236,111.8,-11710.777,11529.187,6052.427,-62.343,62.164,343.761,1.906,-1.85,-0.312
2237,111.85,-11713.889,11532.291,6035.239,-62.248,62.071,343.745,1.907,-1.851,-0.33
2238,111.9,-11716.997,11535.39,6018.052,-62.152,61.978,343.727,1.907,-1.852,-0.348
2239,111.95,-11720.1,11538.484,6000.865,-62.057,61.886,343.709,1.908,-1.852,-0.366
2240,112.0,-11723.198,11541.574,5983.68,-61.962,61.793,343.69,1.909,-1.853,-0.384
2241,112.05,-11726.291,11544.659,5966.495,-61.866,61.7,343.67,1.91,-1.854,-0.402
2242,112.1,-11729.38,11547.739,5949.312,-61.771,61.608,343.649,1.91,-1.855,-0.42
2243,112.15,-11732.464,11550.815,5932.13,-61.675,61.515,343.627,1.911,-1.855,-0.438
2244,112.2,-11735.543,11553.886,5914.948,-61.58,61.422,343.604,1.912,-1.856,-0.456
2245,112.25,-11738.617,11556.952,5897.768,-61.484,61.329,343.58,1.912,-1.857,-0.474
2246,112.3,-11741.686,11560.014,5880.589,-61.388,61.236,343.556,1.913,-1.858,-0.491
2247,112.35,-11744.751,11563.071,5863.411,-61.293,61.144,343.53,1.914,-1.858,-0.509
2248,112.4,-11747.811,11566.124,5846.235,-61.197,61.051,343.504,1.914,-1.859,-0.527
2249,112.45,-11750.866,11569.172,5829.059,-61.101,60.958,343.477,1.915,-1.86,-0.545
2250,112.5,-11753.916,11572.215,5811.886,-61.005,60.865,343.449,1.916,-1.861,-0.563
2251,112.55,-11756.961,11575.253,5794.713,-60.91,60.771,343.42,1.916,-1.861,-0.582
2252,112.6,-11760.002,11578.287,5777.542,-60.814,60.678,343.39,1.917,-1.862,-0.6
2253,112.65,-11763.038,11581.317,5760.373,-60.718,60.585,343.359,1.918,-1.863,-0.619
2254,112.7,-11766.069,11584.341,5743.205,-60.622,60.492,343.327,1.918,-1.864,-0.637
2255,112.75,-11769.095,11587.361,5726.038,-60.526,60.399,343.294,1.919,-1.865,-0.656
2256,112.8,-11772.117,11590.376,5708.874,-60.43,60.306,343.26,1.92,-1.865,-0.674
2257,112.85,-11775.134,11593.387,5691.711,-60.334,60.212,343.226,1.921,-1.866,-0.693
2258,112.9,-11778.146,11596.393,5674.549,-60.238,60.119,343.19,1.921,-1.867,-0.711
2259,112.95,-11781.153,11599.394,5657.39,-60.142,60.025,343.154,1.922,-1.868,-0.73
2260,113.0,-11784.155,11602.391,5640.232,-60.046,59.932,343.116,1.923,-1.869,-0.748
2261,113.05,-11787.152,11605.383,5623.076,-59.949,59.839,343.078,1.923,-1.869,-0.767
2262,113.1,-11790.145,11608.37,5605.923,-59.853,59.745,343.039,1.924,-1.87,-0.785
2263,113.15,-11793.133,11611.353,5588.771,-59.757,59.652,342.998,1.925,-1.871,-0.803
2264,113.2,-11796.116,11614.331,5571.621,-59.661,59.558,342.957,1.925,-1.871,-0.822
2265,113.25,-11799.094,11617.304,5554.473,-59.564,59.464,342.915,1.926,-1.872,-0.84
2266,113.3,-11802.068,11620.272,5537.327,-59.468,59.371,342.872,1.926,-1.873,-0.858
2267,113.35,-11805.036,11623.236,5520.184,-59.372,59.277,342.829,1.927,-1.873,-0.876
2268,113.4,-11808.0,11626.195,5503.042,-59.275,59.183,342.784,1.928,-1.874,-0.894
2269,113.45,-11810.959,11629.15,5485.903,-59.179,59.09,342.738,1.928,-1.875,-0.913
2270,113.5,-11813.913,11632.1,5468.766,-59.083,58.996,342.692,1.929,-1.875,-0.931
2271,113.55,-11816.862,11635.045,5451.631,-58.986,58.902,342.644,1.929,-1.876,-0.949
2272,113.6,-11819.807,11637.985,5434.499,-58.89,58.808,342.596,1.93,-1.877,-0.967
2273,113.65,-11822.746,11640.921,5417.369,-58.793,58.714,342.547,1.93,-1.877,-0.985
2274,113.7,-11825.681,11643.852,5400.242,-58.697,58.62,342.496,1.931,-1.878,-1.003
2275,113.75,-11828.611,11646.778,5383.117,-58.6,58.527,342.445,1.931,-1.879,-1.021
2276,113.8,-11831.536,11649.7,5365.995,-58.503,58.433,342.393,1.932,-1.879,-1.039
2277,113.85,-11834.457,11652.617,5348.875,-58.407,58.339,342.341,1.932,-1.88,-1.057
2278,113.9,-11837.372,11655.529,5331.758,-58.31,58.245,342.287,1.933,-1.88,-1.075
2279,113.95,-11840.283,11658.436,5314.644,-58.213,58.151,342.232,1.933,-1.881,-1.093
2280,114.0,-11843.189,11661.339,5297.532,-58.117,58.056,342.177,1.934,-1.881,-1.111
2281,114.05,-11846.09,11664.237,5280.423,-58.02,57.962,342.12,1.934,-1.882,-1.129
2282,114.1,-11848.986,11667.131,5263.317,-57.923,57.868,342.063,1.935,-1.882,-1.147
2283,114.15,-11851.877,11670.02,5246.214,-57.827,57.774,342.005,1.935,-1.883,-1.165
2284,114.2,-11854.764,11672.903,5229.114,-57.73,57.68,341.945,1.935,-1.883,-1.182
2285,114.25,-11857.645,11675.783,5212.017,-57.633,57.586,341.885,1.936,-1.884,-1.2
2286,114.3,-11860.522,11678.657,5194.923,-57.536,57.492,341.825,1.936,-1.884,-1.218
2287,114.35,-11863.394,11681.527,5177.831,-57.439,57.397,341.763,1.937,-1.885,-1.236
2288,114.4,-11866.261,11684.392,5160.743,-57.343,57.303,341.7,1.937,-1.885,-1.253
2289,114.45,-11869.124,11687.253,5143.658,-57.246,57.209,341.637,1.937,-1.886,-1.271
2290,114.5,-11871.981,11690.109,5126.576,-57.149,57.114,341.572,1.938,-1.886,-1.288
2291,114.55,-11874.834,11692.96,5109.498,-57.052,57.02,341.507,1.938,-1.886,-1.305
2292,114.6,-11877.681,11695.806,5092.422,-56.955,56.926,341.441,1.938,-1.887,-1.322
2293,114.65,-11880.524,11698.647,5075.35,-56.858,56.831,341.374,1.938,-1.887,-1.338
2294,114.7,-11883.362,11701.484,5058.282,-56.761,56.737,341.306,1.938,-1.887,-1.354
2295,114.75,-11886.196,11704.316,5041.216,-56.664,56.643,341.238,1.938,-1.887,-1.371
2296,114.8,-11889.024,11707.144,5024.154,-56.567,56.548,341.168,1.938,-1.887,-1.387
2297,114.85,-11891.847,11709.966,5007.096,-56.47,56.454,341.098,1.939,-1.888,-1.403
2298,114.9,-11894.666,11712.784,4990.041,-56.373,56.36,341.027,1.939,-1.888,-1.419
2299,114.95,-11897.48,11715.598,4972.99,-56.277,56.265,340.955,1.939,-1.888,-1.435
2300,115.0,-11900.289,11718.406,4955.942,-56.18,56.171,340.883,1.939,-1.888,-1.452
2301,115.05,-11903.093,11721.21,4938.898,-56.083,56.076,340.809,1.939,-1.888,-1.468
2302,115.1,-11905.892,11724.009,4921.857,-55.986,55.982,340.735,1.939,-1.888,-1.484
2303,115.15,-11908.687,11726.804,4904.821,-55.889,55.887,340.66,1.939,-1.888,-1.5
2304,115.2,-11911.476,11729.593,4887.788,-55.792,55.793,340.585,1.939,-1.888,-1.516
2305,115.25,-11914.261,11732.378,4870.758,-55.695,55.699,340.508,1.939,-1.889,-1.532
2306,115.3,-11917.041,11735.158,4853.733,-55.598,55.604,340.431,1.939,-1.889,-1.547
2307,115.35,-11919.816,11737.934,4836.711,-55.501,55.51,340.352,1.939,-1.889,-1.563
